                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.20328,                0.17819,                 1.3688,                0.99906,                      1,                  0.995,                0.79046,                0.86457,                0.31037,                 2.3739,              0.0010894,              0.0010894,              0.0010894
                     38,                0.19532,                0.17809,                 1.3626,                0.99951,                      1,                  0.995,                0.79023,                0.85744,                0.32622,                 2.3097,              0.0010729,              0.0010729,              0.0010729
                     39,                0.20135,                0.17754,                 1.3665,                0.99974,                      1,                  0.995,                 0.8058,                0.85299,                  0.318,                 2.2084,              0.0010564,              0.0010564,              0.0010564
                     40,                0.20664,                0.17665,                 1.3472,                0.99974,                      1,                  0.995,                0.81251,                0.84632,                0.32333,                 2.1791,              0.0010399,              0.0010399,              0.0010399
                     41,                 0.2017,                0.17257,                 1.3854,                0.99948,                      1,                  0.995,                0.79417,                0.84684,                0.30387,                 2.3525,              0.0010234,              0.0010234,              0.0010234
                     42,                0.19741,                0.17188,                 1.3428,                0.99934,                      1,                  0.995,                0.80931,                0.84194,                0.32515,                 2.2221,              0.0010069,              0.0010069,              0.0010069
                     43,                0.19338,                0.16805,                 1.3613,                0.99975,                      1,                  0.995,                0.81345,                0.83129,                0.32525,                 2.2058,             0.00099036,             0.00099036,             0.00099036
                     44,                0.19709,                0.17368,                 1.3705,                0.99854,                      1,                  0.995,                0.79562,                0.85671,                 0.3233,                 2.3018,             0.00097386,             0.00097386,             0.00097386
                     45,                  0.194,                0.16802,                  1.357,                0.99926,                      1,                  0.995,                0.80143,                0.85319,                0.32061,                 2.2257,             0.00095736,             0.00095736,             0.00095736
                     46,                 0.1961,                0.16845,                 1.3738,                0.99952,                      1,                  0.995,                0.79403,                0.86971,                0.33069,                 2.3956,             0.00094085,             0.00094085,             0.00094085
                     47,                0.19555,                0.16677,                  1.367,                0.99899,                      1,                  0.995,                0.79056,                 0.8728,                0.32317,                 2.4488,             0.00092435,             0.00092435,             0.00092435
                     48,                0.19281,                0.16661,                 1.3855,                0.99927,                      1,                  0.995,                0.80142,                0.84404,                0.29994,                 2.3893,             0.00090785,             0.00090785,             0.00090785
                     49,                0.20242,                0.17236,                 1.3822,                0.99926,                      1,                  0.995,                0.79202,                0.86708,                0.33084,                 2.2857,             0.00089134,             0.00089134,             0.00089134
                     50,                 0.1853,                0.16199,                 1.3554,                0.99947,                      1,                  0.995,                0.80853,                0.83677,                0.30411,                 2.3319,             0.00087484,             0.00087484,             0.00087484
                     51,                0.18516,                0.15829,                 1.3638,                0.99915,                      1,                  0.995,                0.78614,                0.86547,                 0.3235,                 2.1752,             0.00085834,             0.00085834,             0.00085834
                     52,                0.18818,                0.15893,                 1.3575,                0.99919,                      1,                  0.995,                0.80149,                0.84828,                 0.3228,                 2.3365,             0.00084184,             0.00084184,             0.00084184
                     53,                 0.1873,                0.16257,                 1.3758,                0.99929,                      1,                  0.995,                0.81017,                0.85127,                0.32594,                 2.3852,             0.00082533,             0.00082533,             0.00082533
                     54,                0.18714,                0.16186,                 1.3826,                0.99891,                      1,                  0.995,                0.80698,                0.84672,                 0.3247,                 2.2841,             0.00080883,             0.00080883,             0.00080883
                     55,                0.18598,                0.16188,                 1.3539,                0.99916,                      1,                  0.995,                0.77764,                 0.8671,                0.30855,                 2.2433,             0.00079233,             0.00079233,             0.00079233
                     56,                0.18642,                0.15773,                 1.3622,                0.99895,                      1,                  0.995,                0.81253,                0.83479,                0.32631,                 2.2958,             0.00077582,             0.00077582,             0.00077582
                     57,                0.18336,                0.15456,                 1.3683,                0.99972,                      1,                  0.995,                0.81015,                0.82703,                 0.3354,                 2.2985,             0.00075932,             0.00075932,             0.00075932
                     58,                0.18772,                0.15961,                 1.3606,                0.99917,                      1,                  0.995,                0.81178,                0.85266,                0.33641,                 2.2782,             0.00074282,             0.00074282,             0.00074282
